,Action,Alpha,Epsilon,Error,Max V,Mean V,Reward,State,Time
0,3,0.1,1.0,0.0,0.0,0.0,0.0,8,0.0009999275207519531
1,3,0.099,0.99,0.0,0.0,0.0,0.0,4,0.0009999275207519531
2,3,0.09801,0.9801,0.0,0.0,0.0,0.0,5,0.0019998550415039062
3,0,0.0970299,0.9702989999999999,0.0,0.0,0.0,0.0,5,0.0019998550415039062
4,0,0.096059601,0.96059601,0.0,0.0,0.0,0.0,5,0.0019998550415039062
5,1,0.09509900499,0.9509900498999999,0.0,0.0,0.0,0.0,5,0.0019998550415039062
6,2,0.0941480149401,0.9414801494009999,0.0,0.0,0.0,0.0,5,0.003000020980834961
7,3,0.093206534790699,0.9320653479069899,0.0,0.0,0.0,0.0,5,0.003000020980834961
8,3,0.09227446944279201,0.92274469442792,0.0,0.0,0.0,0.0,5,0.003000020980834961
9,0,0.09135172474836409,0.9135172474836407,0.0,0.0,0.0,0.0,5,0.003000020980834961
10,1,0.09043820750088044,0.9043820750088043,0.0,0.0,0.0,0.0,5,0.003000020980834961
11,2,0.08953382542587164,0.8953382542587163,0.0,0.0,0.0,0.0,5,0.003999948501586914
12,1,0.08863848717161292,0.8863848717161291,0.0,0.0,0.0,0.0,5,0.003999948501586914
13,3,0.08775210229989679,0.8775210229989678,0.0,0.0,0.0,0.0,5,0.003999948501586914
14,2,0.08687458127689782,0.8687458127689781,0.0,0.0,0.0,0.0,5,0.004999876022338867
15,2,0.08600583546412884,0.8600583546412883,0.0,0.0,0.0,0.0,5,0.004999876022338867
16,3,0.08514577710948755,0.8514577710948754,0.0,0.0,0.0,0.0,5,0.004999876022338867
17,2,0.08429431933839267,0.8429431933839266,0.0,0.0,0.0,0.0,5,0.004999876022338867
18,2,0.08345137614500873,0.8345137614500874,0.0,0.0,0.0,0.0,5,0.004999876022338867
19,3,0.08261686238355864,0.8261686238355865,0.0,0.0,0.0,0.0,5,0.004999876022338867
20,2,0.08179069375972306,0.8179069375972307,0.0,0.0,0.0,0.0,5,0.004999876022338867
21,2,0.08097278682212583,0.8097278682212583,0.0,0.0,0.0,0.0,5,0.004999876022338867
22,3,0.08016305895390458,0.8016305895390458,0.0,0.0,0.0,0.0,5,0.004999876022338867
23,3,0.07936142836436554,0.7936142836436553,0.0,0.0,0.0,0.0,5,0.004999876022338867
24,0,0.07856781408072187,0.7856781408072188,0.0,0.0,0.0,0.0,5,0.006000041961669922
25,3,0.07778213593991465,0.7778213593991465,0.0,0.0,0.0,0.0,5,0.006000041961669922
